指标键,生效日期,数据截止日,指标评分,来源,来源优先级,评分版本,备注
综合|2-制造业PMI,2015-06-01,2015-06-01,3.025,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2015-07-01,2015-07-01,3.1,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2015-08-01,2015-08-01,1.9,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2015-09-01,2015-09-01,1.45,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2015-10-01,2015-10-01,1.75,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2015-11-01,2015-11-01,1.825,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2015-12-01,2015-12-01,1.45,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2016-01-01,2016-01-01,1.6749999999999998,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2016-02-01,2016-02-01,1.45,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2016-03-01,2016-03-01,1.225,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2016-04-01,2016-04-01,4.375,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2016-05-01,2016-05-01,3.55,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2016-06-01,2016-06-01,3.625,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2016-07-01,2016-07-01,3.025,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2016-08-01,2016-08-01,2.875,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2016-09-01,2016-09-01,6.3999999999999995,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2016-10-01,2016-10-01,6.475,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2016-11-01,2016-11-01,9.25,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2016-12-01,2016-12-01,9.625,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-01-01,2017-01-01,9.25,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-02-01,2017-02-01,8.95,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-03-01,2017-03-01,9.4,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-03-31,2017-03-31,9.85,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-04-30,2017-04-30,8.725,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-05-31,2017-05-31,8.649999999999999,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-06-30,2017-06-30,9.7,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-07-31,2017-07-31,9.025,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-08-31,2017-08-31,9.625,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-09-30,2017-09-30,10.0,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-10-31,2017-10-31,9.025,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-11-30,2017-11-30,9.775,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2017-12-31,2017-12-31,8.8,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2018-01-31,2018-01-31,7.824999999999999,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2018-02-28,2018-02-28,4.675,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2018-03-31,2018-03-31,8.5,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2018-04-30,2018-04-30,8.05,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2018-05-31,2018-05-31,9.85,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2018-06-30,2018-06-30,8.275,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2018-07-31,2018-07-31,6.775,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2018-08-31,2018-08-31,7.15,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2018-09-30,2018-09-30,5.5,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2018-10-31,2018-10-31,4.0,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2018-11-30,2018-11-30,2.8,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2018-12-31,2018-12-31,1.375,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2019-01-31,2019-01-31,1.6,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2019-02-28,2019-02-28,1.3,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2019-03-31,2019-03-31,5.65,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2019-04-30,2019-04-30,3.9250000000000003,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2019-05-31,2019-05-31,1.6,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2019-06-30,2019-06-30,1.6749999999999998,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2019-07-31,2019-07-31,2.5,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2019-08-31,2019-08-31,2.125,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2019-09-30,2019-09-30,3.175,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2019-10-31,2019-10-31,1.45,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2019-11-30,2019-11-30,5.65,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2019-12-31,2019-12-31,5.574999999999999,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2020-01-31,2020-01-31,4.075,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2020-02-29,2020-02-29,1.15,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2020-03-31,2020-03-31,9.85,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2020-04-30,2020-04-30,6.475,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2020-05-31,2020-05-31,6.25,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2020-06-30,2020-06-30,6.550000000000001,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2020-07-31,2020-07-31,6.550000000000001,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2020-08-31,2020-08-31,6.3999999999999995,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2020-09-30,2020-09-30,8.2,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2020-10-31,2020-10-31,7.675000000000001,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2020-11-30,2020-11-30,9.85,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2020-12-31,2020-12-31,9.475,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2021-01-31,2021-01-31,6.775,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2021-02-28,2021-02-28,4.975,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2021-03-31,2021-03-31,9.4,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2021-04-30,2021-04-30,5.574999999999999,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2021-05-31,2021-05-31,5.2749999999999995,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2021-06-30,2021-06-30,4.975,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2021-07-31,2021-07-31,3.8499999999999996,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2021-08-31,2021-08-31,3.025,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2021-09-30,2021-09-30,2.3499999999999996,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2021-10-31,2021-10-31,1.375,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2021-11-30,2021-11-30,3.4,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2021-12-31,2021-12-31,4.225,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2022-01-30,2022-01-30,3.475,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2022-03-01,2022-03-01,4.075,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2022-03-31,2022-03-31,2.3499999999999996,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2022-04-30,2022-04-30,1.3,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2022-05-31,2022-05-31,2.875,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2022-06-30,2022-06-30,4.6,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2022-07-31,2022-07-31,1.45,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2022-08-31,2022-08-31,2.275,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2022-09-30,2022-09-30,4.3,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2022-10-31,2022-10-31,1.75,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2022-11-30,2022-11-30,1.45,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2022-12-31,2022-12-31,1.3,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2023-01-31,2023-01-31,4.824999999999999,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2023-03-01,2023-03-01,10.0,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2023-03-31,2023-03-31,9.325000000000001,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
