指标键,统计期日期,原始数值,来源,来源优先级,生效日期,状态
综合|2-制造业PMI,2017-02-01,51.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2017-03-01,51.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2017-03-31,51.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2017-04-30,51.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2017-05-31,51.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2017-06-30,51.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2017-07-31,51.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2017-08-31,51.7,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2017-09-30,52.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2017-10-31,51.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2017-11-30,51.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2017-12-31,51.6,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2018-01-31,51.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2018-02-28,50.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2018-03-31,51.5,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2018-04-30,51.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2018-05-31,51.9,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2018-06-30,51.5,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2018-07-31,51.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2018-08-31,51.3,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2018-09-30,50.8,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2018-10-31,50.2,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2018-11-30,50.0,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2018-12-31,49.4,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
综合|2-制造业PMI,2019-01-31,49.5,AKShare/macro_china_pmi_yearly,10,,发布日期已核验（国家统计局）
