研究排名,股票代码,评分日期,总分,置信度,研究状态,评分状态,准入结论
147,601238,2026-07-28,36.9668,0.2406,数据不足,数据不足,数据不足
148,688303,2026-07-28,36.4982,0.2192,数据不足,数据不足,数据不足
149,002049,2026-07-28,36.1731,0.31,数据不足,数据不足,数据不足
150,600039,2026-07-28,36.0874,0.3169,数据不足,数据不足,数据不足
151,600570,2026-07-28,35.739,0.3169,数据不足,数据不足,数据不足
152,600015,2026-07-28,35.4146,0.2009,数据不足,数据不足,数据不足
153,601377,2026-07-28,35.394,0.2009,数据不足,数据不足,数据不足
154,601818,2026-07-28,34.8166,0.2009,数据不足,数据不足,数据不足
155,002179,2026-07-28,34.4457,0.2995,数据不足,数据不足,数据不足
156,000063,2026-07-28,32.9691,0.2995,数据不足,数据不足,数据不足
157,600010,2026-07-28,32.637,0.238,数据不足,数据不足,数据不足
158,601618,2026-07-28,32.543,0.3169,数据不足,数据不足,数据不足
159,603392,2026-07-28,31.9524,0.2354,数据不足,数据不足,数据不足
160,601012,2026-07-28,31.5359,0.238,数据不足,数据不足,数据不足
161,000002,2026-07-28,30.4451,0.2406,数据不足,数据不足,数据不足
162,688223,2026-07-28,30.4326,0.2406,数据不足,数据不足,数据不足
163,600438,2026-07-28,30.0405,0.2644,数据不足,数据不足,数据不足
164,300122,2026-07-28,29.2052,0.2354,数据不足,数据不足,数据不足
165,688506,2026-07-28,27.6371,0.2354,数据不足,数据不足,数据不足
166,600118,2026-07-28,23.7226,0.2195,数据不足,数据不足,数据不足
167,002558,2026-07-28,80.0191,0.2763,观察,数据不足,数据不足
168,000807,2026-07-28,79.8606,0.296,观察,数据不足,数据不足
169,000975,2026-07-28,79.3068,0.2891,观察,数据不足,数据不足
170,603993,2026-07-28,75.4166,0.2995,观察,数据不足,数据不足
171,002602,2026-07-28,74.6846,0.3169,观察,数据不足,数据不足
172,605499,2026-07-28,73.7001,0.2954,观察,数据不足,数据不足
173,600066,2026-07-28,72.3783,0.2889,观察,数据不足,数据不足
174,300308,2026-07-28,72.3761,0.2716,观察,数据不足,数据不足
175,600989,2026-07-28,72.3261,0.296,观察,数据不足,数据不足
176,002532,2026-07-28,71.7591,0.3134,观察,数据不足,数据不足
177,688256,2026-07-28,71.2623,0.2578,观察,数据不足,数据不足
178,603986,2026-07-28,71.2419,0.2954,观察,数据不足,数据不足
179,605117,2026-07-28,70.841,0.3169,观察,数据不足,数据不足
180,601899,2026-07-28,70.2678,0.2891,观察,数据不足,数据不足
181,688008,2026-07-28,70.088,0.31,观察,数据不足,数据不足
182,002001,2026-07-28,69.8847,0.3134,观察,数据不足,数据不足
183,300394,2026-07-28,69.7212,0.2662,观察,数据不足,数据不足
184,688183,2026-07-28,69.2256,0.2762,观察,数据不足,数据不足
185,600489,2026-07-28,68.9545,0.3134,观察,数据不足,数据不足
186,300502,2026-07-28,68.831,0.276,观察,数据不足,数据不足
187,002074,2026-07-28,68.3084,0.2762,观察,数据不足,数据不足
188,601138,2026-07-28,68.1735,0.2922,观察,数据不足,数据不足
189,002648,2026-07-28,67.6893,0.2612,观察,数据不足,数据不足
190,601600,2026-07-28,67.6722,0.296,观察,数据不足,数据不足
191,300476,2026-07-28,67.5357,0.3134,观察,数据不足,数据不足
192,603259,2026-07-28,67.4222,0.31,观察,数据不足,数据不足
193,688111,2026-07-28,67.1181,0.276,观察,数据不足,数据不足
194,302132,2026-07-28,67.1172,0.3134,观察,数据不足,数据不足
195,601872,2026-07-28,66.8595,0.2995,观察,数据不足,数据不足
196,000792,2026-07-28,66.6448,0.3169,观察,数据不足,数据不足
197,600150,2026-07-28,66.5583,0.2793,观察,数据不足,数据不足
198,301308,2026-07-28,66.5535,0.2732,观察,数据不足,数据不足
199,002709,2026-07-28,66.5154,0.31,观察,数据不足,数据不足
200,002027,2026-07-28,66.5073,0.3134,观察,数据不足,数据不足
201,300999,2026-07-28,66.3085,0.3169,观察,数据不足,数据不足
202,300628,2026-07-28,66.3077,0.2695,观察,数据不足,数据不足
203,601021,2026-07-28,66.1639,0.3169,观察,数据不足,数据不足
204,688981,2026-07-28,65.9956,0.3692,观察,数据不足,数据不足
205,600547,2026-07-28,65.5473,0.3169,观察,数据不足,数据不足
206,600183,2026-07-28,65.1592,0.3134,观察,数据不足,数据不足
207,300015,2026-07-28,65.0768,0.296,观察,数据不足,数据不足
208,600026,2026-07-28,65.0324,0.31,观察,数据不足,数据不足
