股票代码,评分日期,盈利质量覆盖率,成长质量覆盖率,财务健康覆盖率,估值合理性覆盖率,治理与事件风险覆盖率,盈利质量评分,成长质量评分,财务健康评分,估值合理性评分,治理与事件风险评分,总分,置信度,评分状态,硬风险,准入结论
601628,2026-07-28,0.6,0.65,0.5,0.5,0.0,7.5886,3.5145,5.6388,7.5375,0,60.1509,0.2224,数据不足,,数据不足
600547,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.2038,8.977,5.7865,4.2438,0,65.5473,0.3169,数据不足,,数据不足
601111,2026-07-28,1.0,0.3,1.0,0.5,0.0,5.5092,8.3636,4.6235,3.125,0,57.079,0.2793,数据不足,,数据不足
600048,2026-07-28,1.0,0.65,1.0,0.5,0.0,9.448,2.9869,3.5586,4.6563,0,55.4584,0.31,数据不足,,数据不足
601398,2026-07-28,0.6,0.65,0.25,0.5,0.0,3.8963,3.5493,1.3437,8.7188,0,40.3641,0.2009,数据不足,,数据不足
601006,2026-07-28,1.0,0.65,1.0,0.5,0.0,3.2468,2.4286,6.5137,7.2312,0,44.0956,0.3169,数据不足,,数据不足
601988,2026-07-28,0.6,0.65,0.25,0.5,0.0,6.1827,3.9615,1.5938,8.7,0,49.6549,0.2009,数据不足,,数据不足
000768,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.0038,3.8176,4.5287,3.4625,0,43.1182,0.3134,数据不足,,数据不足
000538,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.4465,5.2647,7.9806,5.7063,0,63.3577,0.3169,数据不足,,数据不足
600690,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.6243,4.8242,5.863,7.3688,0,57.4585,0.31,数据不足,,数据不足
600660,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.6313,7.2273,5.2916,5.2875,0,59.4183,0.2891,数据不足,,数据不足
600585,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.9899,1.7309,6.527,8.3625,0,59.8831,0.3169,数据不足,,数据不足
600519,2026-07-28,1.0,0.65,0.75,0.5,0.0,7.813,6.0178,5.7856,4.1938,0,62.606,0.2792,数据不足,,数据不足
600362,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.5199,5.9006,6.0758,5.9125,0,58.146,0.3134,数据不足,,数据不足
600309,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.4669,4.36,5.1131,5.7,0,51.1965,0.2856,数据不足,,数据不足
000625,2026-07-28,1.0,0.65,0.75,0.5,0.0,7.4962,1.925,5.4084,6.125,0,52.5618,0.2889,数据不足,,数据不足
000651,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.0606,5.9159,5.7211,7.9688,0,62.6301,0.3134,数据不足,,数据不足
000568,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.5832,3.8459,5.9457,6.4312,0,59.8917,0.3134,数据不足,,数据不足
000425,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.1574,6.1343,4.4076,6.55,0,54.9425,0.3134,数据不足,,数据不足
000157,2026-07-28,1.0,0.65,1.0,0.5,0.0,3.4714,4.2734,3.4936,7.1438,0,43.1117,0.3134,数据不足,,数据不足
000063,2026-07-28,1.0,0.65,1.0,0.5,0.0,2.6468,3.2047,3.6631,4.2625,0,32.9691,0.2995,数据不足,,数据不足
000001,2026-07-28,0.6,0.65,0.25,0.5,0.0,6.507,2.9845,1.7188,9.4062,0,49.4769,0.1899,数据不足,,数据不足
600009,2026-07-28,1.0,0.3,0.75,0.5,0.0,3.3913,7.2937,7.2272,5.3812,0,56.5938,0.2578,数据不足,,数据不足
600010,2026-07-28,0.7,0.3,1.0,0.5,0.0,1.1975,1.9126,4.1997,8.4,0,32.637,0.238,数据不足,,数据不足
600015,2026-07-28,0.6,0.65,0.25,0.5,0.0,1.9414,3.3859,1.625,9.5562,0,35.4146,0.2009,数据不足,,数据不足
