生效日期,股票代码,股票名称
2019-12-30,SZ_002179,中航光电
2019-12-30,SZ_002202,金风科技
2019-12-30,SZ_002230,科大讯飞
2019-12-30,SZ_002236,大华股份
2019-12-30,SZ_002241,歌尔股份
2019-12-30,SZ_002252,上海莱士
2019-12-30,SZ_002271,东方雨虹
2019-12-30,SZ_002294,信立泰
2019-12-30,SZ_002304,洋河股份
2019-12-30,SZ_002311,海大集团
2019-12-30,SZ_002352,顺丰控股
2019-12-30,SZ_002410,广联达
2019-12-30,SZ_002411,延安必康
2019-12-30,SZ_002415,海康威视
2019-12-30,SZ_002422,科伦药业
2019-12-30,SZ_002456,欧菲光
2019-12-30,SZ_002460,赣锋锂业
2019-12-30,SZ_002466,天齐锂业
2019-12-30,SZ_002468,申通快递
2019-12-30,SZ_002475,立讯精密
2019-12-30,SZ_002493,荣盛石化
2019-12-30,SZ_002508,老板电器
2019-12-30,SZ_002555,三七互娱
2019-12-30,SZ_002558,巨人网络
2019-12-30,SZ_002594,比亚迪
2019-12-30,SZ_002601,龙蟒佰利
2019-12-30,SZ_002602,世纪华通
2019-12-30,SZ_002607,中公教育
2019-12-30,SZ_002624,完美世界
2019-12-30,SZ_002673,西部证券
2019-12-30,SZ_002714,牧原股份
2019-12-30,SZ_002736,国信证券
2019-12-30,SZ_002739,万达电影
2019-12-30,SZ_002773,康弘药业
2019-12-30,SZ_002841,视源股份
2019-12-30,SZ_002916,深南电路
2019-12-30,SZ_002938,鹏鼎控股
2019-12-30,SZ_002939,长城证券
2019-12-30,SZ_002945,华林证券
2019-12-30,SZ_002958,青农商行
2019-12-30,SZ_300003,乐普医疗
2019-12-30,SZ_300015,爱尔眼科
2019-12-30,SZ_300017,网宿科技
2019-12-30,SZ_300024,机器人
2019-12-30,SZ_300033,同花顺
2019-12-30,SZ_300059,东方财富
2019-12-30,SZ_300070,碧水源
2019-12-30,SZ_300122,智飞生物
2019-12-30,SZ_300124,汇川技术
2019-12-30,SZ_300136,信维通信
2019-12-30,SZ_300142,沃森生物
2019-12-30,SZ_300144,宋城演艺
2019-12-30,SZ_300347,泰格医药
2019-12-30,SZ_300408,三环集团
2019-12-30,SZ_300413,芒果超媒
2019-12-30,SZ_300433,蓝思科技
2019-12-30,SZ_300498,温氏股份
2020-01-13,SH_600000,浦发银行
2020-01-13,SH_600004,白云机场
2020-01-13,SH_600009,上海机场
2020-01-13,SH_600010,包钢股份
2020-01-13,SH_600011,华能国际
2020-01-13,SH_600015,华夏银行
2020-01-13,SH_600016,民生银行
2020-01-13,SH_600018,上港集团
2020-01-13,SH_600019,宝钢股份
2020-01-13,SH_600023,浙能电力
2020-01-13,SH_600025,华能水电
2020-01-13,SH_600027,华电国际
2020-01-13,SH_600028,中国石化
2020-01-13,SH_600029,南方航空
2020-01-13,SH_600030,中信证券
2020-01-13,SH_600031,三一重工
2020-01-13,SH_600036,招商银行
2020-01-13,SH_600038,中直股份
2020-01-13,SH_600048,保利地产
2020-01-13,SH_600050,中国联通
2020-01-13,SH_600061,国投资本
2020-01-13,SH_600066,宇通客车
2020-01-13,SH_600068,葛洲坝
2020-01-13,SH_600085,同仁堂
2020-01-13,SH_600089,特变电工
2020-01-13,SH_600100,同方股份
