股票代码,报告期,实际披露日,数据截止日,评分日期,数据来源,来源等级,收入,归母净利润,扣非净利润,经营现金流净额,自由现金流,FCF净利比,ROE,ROIC,收入3年CAGR,扣非净利润3年CAGR,资产负债率,应收周转天数,存货周转天数,有息负债率,利息保障倍数,PE_TTM,PB_MRQ,估值日期,估值数据状态,毛利率,净利率,审计意见,数据状态,备注,FCF_Yield,大股东质押率,商誉净资产比,EV_EBITDA,监管处罚次数,关联交易风险,诉讼仲裁次数,对外担保风险
603893,20260331,2026-04-22,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,1205453647.35,329194658.46,319900584.29,382507658.14,382507658.14,1.1619497713887663,0.0723,0.07145878,0.5410755164325154,,0.1785486399999999,31.048405,167.607217,0.0,-34818.6037,66.65,16.38,2026-07-30,当前估值快照，历史估值待核验,43.042024,27.308777,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0174336049720745,0.0,0.0,60.72,5,0.005428,0,0.0
300476,20260331,2026-04-29,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,5519485066.85,1288427592.46,1257223943.14,2116658463.16,2116658463.16,1.6428229848125615,0.0762,0.06199056,0.4643520461240566,1.2252388138301655,0.55233938,93.158352,87.916161,0.124046,1526.7345,37.88,10.18,2026-07-30,当前估值快照，历史估值待核验,34.458493,23.343257,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.043369138986604,0.0472,0.0667553160363148,41.71,9,0.007125,0,0.000519
600522,20260331,2026-04-25,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,13142208087.22,918953763.69,824931171.27,-1948608648.7,-1948608648.7,-2.120464299395746,0.0243,0.0228141,0.1667178200745753,0.1554737980650424,0.38516104,106.459607,71.644452,0.01783,1922.7734,29.6,2.49,2026-07-30,当前估值快照，历史估值待核验,15.58141,7.208996,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,-0.0716373074120184,0.0,0.0019078173961349,30.88,10,0.006737,5,0.000571
300803,20260331,2026-04-25,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,709895634.0,111214782.0,110001229.0,1812680414.0,1812680414.0,16.298916217809968,0.0391,0.02748812,0.2806208958315999,0.2488699289977554,0.8478264799999999,20.127461,3.292754,0.058773,1809.4632,242.74,16.98,2026-07-30,当前估值快照，历史估值待核验,89.982389,21.311612,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0671455722905576,0.0250999999999999,0.5567885764630105,208.37,4,0.001478,0,0.000114
300251,20260331,2026-04-22,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,190613452.81,23275590.8,9419415.91,-21526989.59,-21526989.59,-0.9248740354208324,0.23,0.238012,-0.2270615697462683,-0.5696925088162599,0.0908017199999999,133.989496,609.704307,0.0,-788.4419,-103.29,3.3,2026-07-30,当前估值快照，历史估值待核验,44.129931,12.546802,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,,0.1205,0.0015338037065317,,0,0.005753,0,0.0
601456,20260331,2026-04-28,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,1856319897.71,496755400.36,484473835.7,5522317294.56,5522317294.56,11.11677354802376,0.94,0.005551,0.3987101380017805,0.3372370796234178,0.70638888,,,0.153889,,23.93,0.95,2026-07-30,当前估值快照，历史估值待核验,33.868361,26.938069,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.4645538465534375,0.0,0.2611846977685458,241.57,13,0.0,0,0.00094
300866,20260331,2026-04-30,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,7607645545.67,471594189.71,546758896.9,-450631808.74,-450631808.74,-0.955549959207745,0.0435,0.03534576,0.312453523931842,0.3077971908113328,0.43919339,22.638684,110.892463,0.036965,817.4831,28.84,6.51,2026-07-30,当前估值快照，历史估值待核验,43.640113,6.19012,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,-0.0331328002499218,0.0,0.0,29.65,2,0.008948,0,0.016925
2625,20260331,2026-04-28,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,522345952.84,176152449.31,172178993.61,49436735.69,49436735.69,0.2806474498858616,0.0181,0.01565434,0.1878991957522267,0.2183123328759264,0.18574364,444.621972,249.9383,0.0,-740.0115,92.83,6.77,2026-07-30,当前估值快照，历史估值待核验,49.853559,33.723329,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0030232408691787,0.36,0.032832,66.57,10,0.000663,0,0.0
601018,20260331,2026-04-29,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,8190825000.0,1169936000.0,1134989000.0,-1155518000.0,-1155518000.0,-0.987676248957208,0.0144,0.0133363,0.1204393389200593,0.0882218411074908,0.2446197799999999,45.524298,10.57064,0.05864,2901.4142,13.11,0.83,2026-07-30,当前估值快照，历史估值待核验,27.883906,16.015663,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,-0.0753376238716405,0.0,0.0065828709120506,23.24,7,0.004897,0,0.0
2384,20260331,2026-04-28,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,13137636263.36,1109892942.38,1059278407.74,1126672373.29,1126672373.29,1.0151180625349494,0.0504999999999999,0.02907848,0.2636004784014445,0.5580004384518913,0.63688751,66.272138,79.289031,0.130555,629.3916,145.26,13.09,2026-07-30,当前估值快照，历史估值待核验,19.327535,8.556737,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0069882835091212,0.1272,0.208317,123.12,51,0.00295,0,0.010964
